Airfoil;y1;y2;y3;y4;y5;y6;y7;y8;y9;y10;y11;y12;y13;y14;y15;y16;y17;y18;y19;y20;y21;y22;y23;y24;y25;y26;y27;y28;y29;y30;y31;y32;y33;y34;y35;y36;y37;y38;y39;y40;y41;y42;y43;y44;y45;y46;y47;y48;y49;y50;y51;y52;y53;y54;y55;y56;y57;y58;y59;y60;y61;y62;y63;y64;y65;y66;y67;y68;y69;y70;y71;y72;y73;y74;y75;y76;y77;y78;y79;y80;y81;y82;y83;y84;y85;y86;y87;y88;y89;y90;y91;y92;y93;y94;y95;y96;y97;y98;y99;y100;y101
NACA 0008;0.00084;0.00111419;0.00150951;0.00202339;0.00265464;0.00340489;0.00428165;0.00530595;0.00651291;0.0078862;0.009409;0.0110897;0.01291724;0.01487094;0.01693555;0.01909911;0.02134498;0.0236435;0.0259383;0.02821459;0.03043582;0.03249967;0.03443875;0.03614154;0.03758215;0.03875753;0.03949471;0.03993228;0.03994931;0.03956308;0.03874098;0.03754664;0.03601644;0.03412783;0.03200966;0.02967586;0.02718939;0.02458656;0.02193562;0.01929598;0.01671434;0.01420581;0.0118166;0.00954789;0.00746031;0.00559018;0.00395791;0.00257595;0.00145238;0.00059256;0;-0.00059256;-0.00145238;-0.00257595;-0.00395791;-0.00559018;-0.00746031;-0.00954789;-0.0118166;-0.01420581;-0.01671434;-0.01929598;-0.02193562;-0.02458656;-0.02718939;-0.02967586;-0.03200966;-0.03412783;-0.03601644;-0.03754664;-0.03874098;-0.03956308;-0.03994931;-0.03993228;-0.03949471;-0.03875753;-0.03758215;-0.03614154;-0.03443875;-0.03249967;-0.03043582;-0.02821459;-0.0259383;-0.0236435;-0.02134498;-0.01909911;-0.01693555;-0.01487094;-0.01291724;-0.0110897;-0.009409;-0.0078862;-0.00651291;-0.00530595;-0.00428165;-0.00340489;-0.00265464;-0.00202339;-0.00150951;-0.00111419;-0.00084
NACA 0012;0.00126;0.00163721;0.00219428;0.00293763;0.00387698;0.00502279;0.00638314;0.0079685;0.00978452;0.01183298;0.01411577;0.01662774;0.01935678;0.0222875;0.0253961;0.02865297;0.03202158;0.03545887;0.03891468;0.04232941;0.04564074;0.04878178;0.05167279;0.0542436;0.05642151;0.05813107;0.059316;0.05993348;0.05994445;0.0593388;0.05813321;0.05634106;0.05402188;0.05122793;0.04804;0.04452919;0.04079063;0.03689478;0.032928;0.02896544;0.02507237;0.02130757;0.01772507;0.01437034;0.01128506;0.0085038;0.00605065;0.0039561;0.00223408;0.00091182;0;-0.00091182;-0.00223408;-0.0039561;-0.00605065;-0.0085038;-0.01128506;-0.01437034;-0.01772507;-0.02130757;-0.02507237;-0.02896544;-0.032928;-0.03689478;-0.04079063;-0.04452919;-0.04804;-0.05122793;-0.05402188;-0.05634106;-0.05813321;-0.0593388;-0.05994445;-0.05993348;-0.059316;-0.05813107;-0.05642151;-0.0542436;-0.05167279;-0.04878178;-0.04564074;-0.04232941;-0.03891468;-0.03545887;-0.03202158;-0.02865297;-0.0253961;-0.0222875;-0.01935678;-0.01662774;-0.01411577;-0.01183298;-0.00978452;-0.0079685;-0.00638314;-0.00502279;-0.00387698;-0.00293763;-0.00219428;-0.00163721;-0.00126
NACA 0015;0.00158;0.00209451;0.00283636;0.00380078;0.00498549;0.00639351;0.00803866;0.00995991;0.01222228;0.0147955;0.01764849;0.02079727;0.02422121;0.02788178;0.03175078;0.03580655;0.04001735;0.04432616;0.04862521;0.05288808;0.05705093;0.06092693;0.06457129;0.06776703;0.07046528;0.07266657;0.07405026;0.07487339;0.07490635;0.07418207;0.0726412;0.07039872;0.06752549;0.0639914;0.06002914;0.05564767;0.05098092;0.04610914;0.04113959;0.03618387;0.03133631;0.02662715;0.02214422;0.01789051;0.01397792;0.01047358;0.00741525;0.00482607;0.00272104;0.00111015;0;-0.00111015;-0.00272104;-0.00482607;-0.00741525;-0.01047358;-0.01397792;-0.01789051;-0.02214422;-0.02662715;-0.03133631;-0.03618387;-0.04113959;-0.04610914;-0.05098092;-0.05564767;-0.06002914;-0.0639914;-0.06752549;-0.07039872;-0.0726412;-0.07418207;-0.07490635;-0.07487339;-0.07405026;-0.07266657;-0.07046528;-0.06776703;-0.06457129;-0.06092693;-0.05705093;-0.05288808;-0.04862521;-0.04432616;-0.04001735;-0.03580655;-0.03175078;-0.02788178;-0.02422121;-0.02079727;-0.01764849;-0.0147955;-0.01222228;-0.00995991;-0.00803866;-0.00639351;-0.00498549;-0.00380078;-0.00283636;-0.00209451;-0.00158
NACA 1408;0.00084;0.00121284;0.00175075;0.00245044;0.00331019;0.00433174;0.00552391;0.00691217;0.0085384;0.01038115;0.01241829;0.01465597;0.01707824;0.01965709;0.02236499;0.02516916;0.02805103;0.03097347;0.033841;0.03664212;0.03933926;0.04178977;0.04405323;0.04598474;0.04755351;0.04875358;0.04934461;0.04951599;0.04909215;0.04812043;0.04662233;0.04468727;0.04236567;0.0396996;0.03681688;0.03374795;0.03057627;0.02736324;0.02417887;0.02107114;0.0181093;0.01530885;0.0126713;0.01018065;0.0078997;0.00587122;0.00411869;0.00265421;0.00148176;0.0005991;0;-0.00059059;-0.00143413;-0.00251695;-0.00382549;-0.00534676;-0.00706677;-0.00896652;-0.01101313;-0.01314582;-0.01535374;-0.01756862;-0.01975598;-0.0218791;-0.02385567;-0.02566316;-0.02726639;-0.02859961;-0.0296932;-0.03043454;-0.030881;-0.03101379;-0.03081712;-0.03035922;-0.02965;-0.02876164;-0.02761155;-0.02630107;-0.02482398;-0.02320088;-0.02151987;-0.01978255;-0.0180426;-0.01632934;-0.0146572;-0.01304705;-0.01152294;-0.01009955;-0.00876915;-0.00753615;-0.00641553;-0.0054135;-0.00451539;-0.00372939;-0.00306522;-0.00249802;-0.00201311;-0.00160519;-0.00127303;-0.0010174;-0.00084
NACA 1410;0.00105;0.00149181;0.0021291;0.00295792;0.00397627;0.0051864;0.00659929;0.0082464;0.01017901;0.01237043;0.01479257;0.01745012;0.02032474;0.02338591;0.02660534;0.02995152;0.03340015;0.03690239;0.04034424;0.04371192;0.04696166;0.04992812;0.05267666;0.05502948;0.0569509;0.05844045;0.05921968;0.05950618;0.05908784;0.05802009;0.05633247;0.05411467;0.0514174;0.04829419;0.04489518;0.04125449;0.0374739;0.03362956;0.02979802;0.02603579;0.02243829;0.01902329;0.01579108;0.01270988;0.00987186;0.00734084;0.00515099;0.0033198;0.00185335;0.00074932;0;-0.00073859;-0.00179339;-0.00314733;-0.00478375;-0.0066872;-0.00884211;-0.01122875;-0.01381447;-0.01653903;-0.01938435;-0.02226167;-0.02512116;-0.02792074;-0.03055547;-0.03300243;-0.03521008;-0.03708564;-0.03866689;-0.03980534;-0.04056418;-0.04090071;-0.04077228;-0.04051289;-0.04018936;-0.03944708;-0.03772267;-0.03554037;-0.03335568;-0.03125645;-0.02912247;-0.02684444;-0.02452524;-0.02222576;-0.01997116;-0.01779529;-0.01573111;-0.01379783;-0.01198661;-0.01030288;-0.00876434;-0.0073794;-0.00613502;-0.00504602;-0.00412689;-0.00334247;-0.00267203;-0.00210808;-0.00164884;-0.00129534;-0.00105
NACA 1412;0.00126;0.00177086;0.00250779;0.00346624;0.00464388;0.00604329;0.00767706;0.00958134;0.01181488;0.01434738;0.01714854;0.02022808;0.02356412;0.02711892;0.03085768;0.03474191;0.03874515;0.04281606;0.04683314;0.05077736;0.05458719;0.05806582;0.06129223;0.06406546;0.06634508;0.06812725;0.06908952;0.06948555;0.06907755;0.06792077;0.06603182;0.06352471;0.06045594;0.05688719;0.05298559;0.04878622;0.04440197;0.03991989;0.03544299;0.03103552;0.02681039;0.02278372;0.01895705;0.01527918;0.01187431;0.00883091;0.00619548;0.00399157;0.00222738;0.00090013;0;-0.00088655;-0.00215156;-0.00377383;-0.00573309;-0.00801142;-0.01059225;-0.01345665;-0.01657549;-0.01989542;-0.0233894;-0.02693508;-0.03046343;-0.03394034;-0.03724218;-0.0403293;-0.04313423;-0.04554504;-0.04761119;-0.04915011;-0.05022281;-0.05077952;-0.05079327;-0.05033577;-0.04940092;-0.04813574;-0.04639672;-0.04436758;-0.04203788;-0.03944136;-0.03672141;-0.03386223;-0.030973;-0.02810478;-0.02528131;-0.02254884;-0.01994559;-0.01749413;-0.01519152;-0.01304913;-0.01109176;-0.0093306;-0.00774799;-0.00636178;-0.00518969;-0.0041882;-0.00333182;-0.00261138;-0.00202474;-0.00157327;-0.00126
NACA 2412;0.0013;0.00191154;0.00279382;0.0039414;0.00535147;0.00702682;0.00898185;0.01125809;0.01392476;0.01694545;0.02027594;0.02390934;0.02782188;0.0319771;0.03633689;0.04085342;0.04549669;0.05020544;0.05482257;0.05931949;0.06361102;0.06742319;0.07090159;0.07386799;0.07627657;0.07809403;0.07892098;0.07906583;0.07824168;0.07653367;0.07398035;0.07076494;0.06698891;0.06267062;0.05802074;0.0530552;0.04799334;0.04298917;0.03805069;0.03324182;0.02863758;0.02425301;0.02007245;0.01607748;0.0124107;0.00916008;0.00637249;0.00406878;0.00224999;0.00090173;0;-0.00087635;-0.00210825;-0.00366132;-0.00550573;-0.00761969;-0.00998949;-0.01260666;-0.01546237;-0.01853857;-0.02179017;-0.02499219;-0.02810756;-0.03107757;-0.03379672;-0.03614986;-0.03817801;-0.03988949;-0.04123936;-0.04203959;-0.04237319;-0.04223074;-0.0416081;-0.04068035;-0.03949662;-0.0381086;-0.03640044;-0.03448773;-0.03234203;-0.02999494;-0.02760648;-0.02522659;-0.02289347;-0.02064507;-0.01850022;-0.01644983;-0.01450495;-0.0126792;-0.01097367;-0.00940436;-0.00800275;-0.00677948;-0.00569491;-0.00475008;-0.00395494;-0.00327766;-0.00269928;-0.00221287;-0.00181674;-0.00151175;-0.0013
NACA 2415;0.00157;0.00225325;0.00322904;0.00451217;0.00614877;0.00813866;0.01049615;0.0132319;0.01635497;0.01988002;0.02378144;0.02805011;0.03266017;0.03757993;0.04275191;0.04811565;0.05360689;0.0591311;0.06459401;0.06990941;0.07497477;0.07966181;0.0838639;0.08749072;0.09046241;0.09266715;0.09388234;0.09406477;0.09323452;0.0914085;0.08860935;0.08498313;0.08066738;0.07573279;0.07032437;0.06463289;0.05873159;0.0527724;0.04686639;0.04110938;0.03558593;0.0303042;0.02542254;0.02114481;0.01736901;0.01376378;0.01004243;0.00645552;0.00351018;0.00136224;0.00000031;-0.00121871;-0.00277924;-0.00457145;-0.0065639;-0.0088267;-0.01158727;-0.0150897;-0.01910776;-0.02326172;-0.02742374;-0.03161214;-0.03576211;-0.03976047;-0.04354881;-0.0469724;-0.0500225;-0.05259003;-0.05458262;-0.05600922;-0.05684161;-0.05704729;-0.05665813;-0.05574923;-0.05439646;-0.05266874;-0.05058022;-0.04810189;-0.04531467;-0.04230841;-0.03915529;-0.03593493;-0.03272746;-0.02957446;-0.02650756;-0.02357866;-0.02080505;-0.01820191;-0.01579368;-0.013585;-0.01157404;-0.00976529;-0.00814834;-0.00672765;-0.00549632;-0.004444;-0.00356624;-0.00284499;-0.00227385;-0.00185046;-0.00157
NACA 2418;0.0019;0.00272361;0.0039123;0.00545896;0.00735968;0.00961756;0.01225027;0.01530959;0.01888253;0.02292586;0.02739438;0.03230507;0.03762328;0.04328371;0.04921944;0.05534723;0.06163471;0.06802521;0.07434735;0.08055643;0.08651536;0.09185555;0.0967659;0.10101541;0.10453468;0.10724343;0.1085788;0.10900662;0.10822396;0.10630374;0.1031978;0.09924003;0.09453404;0.08891588;0.0827645;0.07625819;0.06952726;0.06263949;0.05579361;0.04912375;0.04275834;0.03669086;0.03072453;0.02474673;0.01913398;0.0141112;0.00979335;0.00623148;0.00343231;0.0013702;0;-0.00132288;-0.0031685;-0.00547543;-0.00819306;-0.01129006;-0.01475793;-0.01861312;-0.02290315;-0.02770731;-0.03292246;-0.03817636;-0.04339876;-0.04850281;-0.05333778;-0.05770848;-0.06162427;-0.06504962;-0.06795503;-0.07005757;-0.07134604;-0.07179461;-0.07152283;-0.07065399;-0.06918173;-0.06725906;-0.06465849;-0.06164072;-0.05819063;-0.05436385;-0.05041087;-0.04636589;-0.04232936;-0.03834805;-0.03444708;-0.03067709;-0.02708421;-0.0236996;-0.02052529;-0.01758441;-0.01492195;-0.0125566;-0.01044449;-0.00860277;-0.00705589;-0.0057401;-0.00461708;-0.00367278;-0.00290365;-0.00231134;-0.0019
NACA 2424;0;0.00119413;0.00293028;0.00520381;0.00800608;0.01132263;0.01512947;0.01938326;0.02402839;0.02908838;0.0346297;0.04077102;0.0474661;0.05461744;0.0621346;0.06991858;0.07792095;0.08604021;0.09402905;0.10186851;0.10942306;0.11631674;0.1227139;0.12820351;0.1327255;0.13625164;0.13813274;0.13891109;0.1382194;0.1360821;0.13248741;0.12777131;0.12193424;0.11519568;0.10769087;0.09970374;0.09130343;0.08270731;0.074108;0.06549832;0.05733128;0.04989695;0.04292108;0.03562587;0.02795414;0.0207411;0.01440811;0.00914487;0.00501269;0.00198914;0;-0.00189745;-0.00450389;-0.007696;-0.0113684;-0.01545249;-0.01992655;-0.02482219;-0.03023596;-0.03636284;-0.04337665;-0.05080993;-0.05809746;-0.06533345;-0.07223466;-0.07879093;-0.0847729;-0.08991489;-0.09437236;-0.09771057;-0.10011952;-0.10140852;-0.10156373;-0.10071055;-0.09883121;-0.09627334;-0.0927688;-0.08867898;-0.08396053;-0.07869859;-0.07319491;-0.06743805;-0.0616399;-0.0558909;-0.0502396;-0.04477238;-0.03955989;-0.03464481;-0.03003815;-0.02578327;-0.02195725;-0.01855859;-0.01544851;-0.01254461;-0.00982109;-0.00735652;-0.00520015;-0.00337664;-0.00189883;-0.00077271;0
