Airfoil;Reynolds;Alpha;Cl;Cd
NACA 0012;1000000;-5;-0.598;0.01181
NACA 0012;1000000;-4;-0.481;0.01025
NACA 0012;1000000;-3;-0.362;0.00948
NACA 0012;1000000;-2;-0.242;0.00897
NACA 0012;1000000;-1;-0.121;0.00875
NACA 0012;1000000;0;0;0.00808
NACA 0012;1000000;1;0.121;0.00869
NACA 0012;1000000;2;0.242;0.0093
NACA 0012;1000000;3;0.362;0.00941
NACA 0012;1000000;4;0.481;0.01018
NACA 0012;1000000;5;0.598;0.0118
NACA 0012;1000000;6;0.711;0.01321
NACA 0012;1000000;7;0.82;0.01423
NACA 0012;1000000;8;0.92;0.01548
NACA 0012;1000000;9;1.007;0.01544
NACA 0012;1000000;10;1.077;0.01802
NACA 0012;2000000;-5;-0.598;0.01076
NACA 0012;2000000;-4;-0.481;0.00979
NACA 0012;2000000;-3;-0.362;0.00919
NACA 0012;2000000;-2;-0.242;0.00879
NACA 0012;2000000;-1;-0.121;0.00807
NACA 0012;2000000;0;0;0.00799
NACA 0012;2000000;1;0.121;0.00801
NACA 0012;2000000;2;0.242;0.00882
NACA 0012;2000000;3;0.362;0.00917
NACA 0012;2000000;4;0.481;0.00979
NACA 0012;2000000;5;0.598;0.01076
NACA 0012;2000000;6;0.711;0.01183
NACA 0012;2000000;7;0.82;0.01267
NACA 0012;2000000;8;0.92;0.0138
NACA 0012;2000000;9;1.01;0.01493
NACA 0012;2000000;10;1.083;0.01578
NACA 0012;3000000;-5;-0.598;0.01038
NACA 0012;3000000;-4;-0.481;0.00971
NACA 0012;3000000;-3;-0.362;0.00914
NACA 0012;3000000;-2;-0.242;0.00817
NACA 0012;3000000;-1;-0.121;0.00807
NACA 0012;3000000;0;0;0.00801
NACA 0012;3000000;1;0.121;0.00802
NACA 0012;3000000;2;0.242;0.00819
NACA 0012;3000000;3;0.362;0.00912
NACA 0012;3000000;4;0.481;0.00968
NACA 0012;3000000;5;0.598;0.01039
NACA 0012;3000000;6;0.711;0.01131
NACA 0012;3000000;7;0.82;0.01206
NACA 0012;3000000;8;0.92;0.01292
NACA 0012;3000000;9;1.01;0.01403
NACA 0012;3000000;10;1.087;0.01455
NACA 0012;4000000;-5;-0.598;0.01026
NACA 0012;4000000;-4;-0.481;0.00964
NACA 0012;4000000;-3;-0.362;0.00844
NACA 0012;4000000;-2;-0.242;0.00819
NACA 0012;4000000;-1;-0.121;0.00809
NACA 0012;4000000;0;0;0.00803
NACA 0012;4000000;1;0.121;0.00806
NACA 0012;4000000;2;0.242;0.00822
NACA 0012;4000000;3;0.362;0.00911
NACA 0012;4000000;4;0.481;0.00964
NACA 0012;4000000;5;0.598;0.01026
NACA 0012;4000000;6;0.711;0.01098
NACA 0012;4000000;7;0.82;0.01167
NACA 0012;4000000;8;0.92;0.01246
NACA 0012;4000000;9;1.01;0.01346
NACA 0012;4000000;10;1.089;0.01476
NACA 0012;5000000;-5;-0.598;0.01017
NACA 0012;5000000;-4;-0.481;0.00968
NACA 0012;5000000;-3;-0.362;0.00846
NACA 0012;5000000;-2;-0.242;0.0082
NACA 0012;5000000;-1;-0.121;0.00811
NACA 0012;5000000;0;0;0.00803
NACA 0012;5000000;1;0.121;0.00808
NACA 0012;5000000;2;0.242;0.00823
NACA 0012;5000000;3;0.362;0.00845
NACA 0012;5000000;4;0.481;0.00965
NACA 0012;5000000;5;0.598;0.01017
NACA 0012;5000000;6;0.711;0.01079
NACA 0012;5000000;7;0.82;0.01143
