Airfoil;Reynolds;Alpha;Cl;Cd
S822;500000;-2;0.089;0.00473
S822;500000;-1;0.212;0.00464
S822;500000;0;0.336;0.00481
S822;500000;1;0.459;0.00499
S822;500000;2;0.581;0.00505
S822;500000;3;0.701;0.0062
S822;500000;4;0.82;0.00756
S822;500000;5;0.936;0.00805
S822;1000000;-2;0.089;0.00412
S822;1000000;-1;0.212;0.00402
S822;1000000;0;0.336;0.0041
S822;1000000;1;0.459;0.0042
S822;1000000;2;0.581;0.00426
S822;1000000;3;0.704;0.0044
S822;1000000;4;0.824;0.00458
S822;1000000;5;0.942;0.00481
S822;150000;-2;0.089;0.00396
S822;150000;-1;0.212;0.00386
S822;150000;0;0.336;0.00385
S822;150000;1;0.459;0.00389
S822;150000;2;0.581;0.00393
S822;150000;3;0.704;0.00408
S822;150000;4;0.824;0.00421
S822;150000;5;0.942;0.00457
S822;2000000;-2;0.089;0.00388
S822;2000000;-1;0.212;0.00375
S822;2000000;0;0.336;0.00371
S822;2000000;1;0.459;0.00371
S822;2000000;2;0.581;0.00377
S822;2000000;3;0.704;0.00389
S822;2000000;4;0.824;0.00406
S822;2000000;5;0.939;0.00712
S1210;500000;-2;1.064;0.0108
S1210;500000;-1;1.181;0.01113
S1210;500000;0;1.298;0.01161
S1210;500000;1;1.412;0.01195
S1210;500000;2;1.526;0.01012
S1210;500000;3;1.637;0.0104
S1210;500000;4;1.745;0.01086
S1210;500000;5;1.851;0.01109
S1210;1000000;-2;1.064;0.00932
S1210;1000000;-1;1.181;0.00961
S1210;1000000;0;1.298;0.00997
S1210;1000000;1;1.412;0.0103
S1210;1000000;2;1.526;0.01063
S1210;1000000;3;1.637;0.01097
S1210;1000000;4;1.745;0.0115
S1210;1000000;5;1.851;0.0097
S1210;150000;-2;1.064;0.00873
S1210;150000;-1;1.181;0.00898
S1210;150000;0;1.298;0.00927
S1210;150000;1;1.412;0.00958
S1210;150000;2;1.526;0.00989
S1210;150000;3;1.637;0.0102
S1210;150000;4;1.745;0.01073
S1210;150000;5;1.851;0.0112
S1210;2000000;-2;1.064;0.00837
S1210;2000000;-1;1.181;0.00858
S1210;2000000;0;1.298;0.00885
S1210;2000000;1;1.412;0.00911
S1210;2000000;2;1.526;0.0094
S1210;2000000;3;1.637;0.00967
S1210;2000000;4;1.745;0.0103
S1210;2000000;5;1.851;0.01097
S6062;1000000;-2;-0.059;0.00507
S6062;1000000;-1;0.057;0.00473
S6062;1000000;0;0.173;0.00473
S6062;1000000;1;0.288;0.00492
S6062;1000000;2;0.404;0.00519
S6062;1000000;3;0.519;0.00564
S6062;1000000;4;0.63;0.00635
S6062;1000000;5;0.733;0.00953
S6062;150000;-2;-0.059;0.00517
S6062;150000;-1;0.057;0.00462
S6062;150000;0;0.173;0.00459
S6062;150000;1;0.288;0.00467
S6062;150000;2;0.404;0.00498
S6062;150000;3;0.519;0.00543
S6062;150000;4;0.63;0.00614
S6062;150000;5;0.733;0.0088
S6062;2000000;-2;-0.059;0.00533
S6062;2000000;-1;0.057;0.0047
S6062;2000000;0;0.173;0.00452
S6062;2000000;1;0.288;0.00463
S6062;2000000;2;0.404;0.00489
S6062;2000000;3;0.519;0.00535
S6062;2000000;4;0.63;0.0061
S6062;2000000;5;0.733;0.00847
S7055;1000000;-2;0.118;0.00631
S7055;1000000;-1;0.238;0.00423
S7055;1000000;0;0.357;0.00417
S7055;1000000;1;0.476;0.00427
S7055;1000000;2;0.594;0.00473
S7055;1000000;3;0.712;0.00504
S7055;1000000;4;0.829;0.00541
S7055;1000000;5;0.946;0.00587
S7055;150000;-2;0.118;0.00597
S7055;150000;-1;0.238;0.00422
S7055;150000;0;0.357;0.00398
S7055;150000;1;0.476;0.00407
S7055;150000;2;0.594;0.00439
S7055;150000;3;0.712;0.0047
S7055;150000;4;0.829;0.00509
S7055;150000;5;0.946;0.00549
S7055;2000000;-2;0.118;0.00578
S7055;2000000;-1;0.238;0.00441
S7055;2000000;0;0.357;0.00398
S7055;2000000;1;0.476;0.004
S7055;2000000;2;0.594;0.00416
S7055;2000000;3;0.712;0.00452
S7055;2000000;4;0.829;0.00488
S7055;2000000;5;0.946;0.00533
SD6060;1000000;-2;-0.046;0.0284
SD6060;1000000;-1;0.049;0.02725
SD6060;1000000;0;0.18;0.00323
SD6060;1000000;1;0.298;0.00323
SD6060;1000000;2;0.417;0.00323
SD6060;1000000;3;0.535;0.00331
SD6060;1000000;4;0.652;0.00356
SD6060;1000000;5;0.765;0.00396
SD6060;150000;-2;-0.046;0.02819
SD6060;150000;-1;0.049;0.02707
SD6060;150000;0;0.18;0.00304
SD6060;150000;1;0.298;0.00303
SD6060;150000;2;0.417;0.00306
SD6060;150000;3;0.535;0.00318
SD6060;150000;4;0.652;0.00351
SD6060;150000;5;0.765;0.00382
SD6060;2000000;-2;-0.046;0.02807
SD6060;2000000;-1;0.049;0.02692
SD6060;2000000;0;0.18;0.00296
SD6060;2000000;1;0.298;0.00293
SD6060;2000000;2;0.417;0.00298
SD6060;2000000;3;0.535;0.00315
SD6060;2000000;4;0.652;0.0035
SD6060;2000000;5;0.765;0.00379
SD8000;1000000;-2;-0.001;0.00398
SD8000;1000000;-1;0.117;0.00298
SD8000;1000000;0;0.234;0.00289
SD8000;1000000;1;0.352;0.00292
SD8000;1000000;2;0.469;0.00307
SD8000;1000000;3;0.587;0.00315
SD8000;1000000;4;0.703;0.00377
SD8000;1000000;5;0.814;0.00448
SD8000;150000;-2;-0.001;0.00378
SD8000;150000;-1;0.117;0.00294
SD8000;150000;0;0.234;0.00286
SD8000;150000;1;0.352;0.00291
SD8000;150000;2;0.469;0.00307
SD8000;150000;3;0.587;0.00331
SD8000;150000;4;0.703;0.00353
SD8000;150000;5;0.814;0.00413
SD8000;2000000;-2;-0.001;0.00367
SD8000;2000000;-1;0.117;0.00298
SD8000;2000000;0;0.234;0.00287
SD8000;2000000;1;0.352;0.00293
SD8000;2000000;2;0.469;0.00311
SD8000;2000000;3;0.587;0.00328
SD8000;2000000;4;0.703;0.00359
SD8000;2000000;5;0.814;0.00391
SD8020;1000000;-2;-0.238;0.00492
SD8020;1000000;-1;-0.119;0.00462
SD8020;1000000;0;0;0.00459
SD8020;1000000;1;0.119;0.00465
SD8020;1000000;2;0.238;0.00496
SD8020;1000000;3;0.356;0.00533
SD8020;1000000;4;0.472;0.00602
SD8020;1000000;5;0.585;0.00749
SD8020;150000;-2;-0.238;0.00481
SD8020;150000;-1;-0.119;0.0046
SD8020;150000;0;0;0.00451
SD8020;150000;1;0.119;0.00462
SD8020;150000;2;0.238;0.00486
SD8020;150000;3;0.356;0.00522
SD8020;150000;4;0.472;0.0057
SD8020;150000;5;0.585;0.0068
